RB Points Allowed,Att,Rush Yards,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
206.7,401,1802,4.5,11,9,1,40,105,26.2,9
304.6,414,1632,3.9,16,9,2,59,86,20.8,5
338.3,504,2382,4.7,17,22,2,57,124,24.6,5
279.8,388,1649,4.3,12,12,1,65,93,24,6
260.3,426,1783,4.2,9,7,2,81,96,22.5,1
344.1,463,2315,5,19,14,3,83,124,26.8,10
181.2,362,1181,3.3,11,4,1,59,70,19.3,6
311.5,439,1922,4.4,9,9,1,76,94,21.4,3
328.1,429,1805,4.2,15,9,3,84,101,23.5,7
354.1,416,2051,4.9,14,9,2,68,115,27.6,6
241.3,383,1567,4.1,8,8,2,60,93,24.3,4
276,407,1656,4.1,14,9,1,59,101,24.8,7
355,485,2166,4.5,15,9,2,60,113,23.3,8
241.8,353,1442,4.1,13,10,3,68,76,21.5,8
269.3,421,1775,4.2,13,14,0,37,108,25.7,10
307.6,469,1812,3.9,19,12,1,41,100,21.3,8
396.8,435,2229,5.1,23,15,6,84,114,26.2,6
250.1,417,1391,3.3,12,8,1,66,75,18,8
364.1,455,1855,4.1,13,7,2,45,94,20.7,7
333.5,411,1921,4.7,15,8,3,75,99,24.1,10
436.4,445,2296,5.2,31,23,5,60,128,28.8,5
175.4,365,1528,4.2,7,6,4,65,72,19.7,5
308.9,405,1570,3.9,15,9,0,30,91,22.5,3
305.7,444,1809,4.1,15,9,1,44,100,22.5,8
251.5,340,1494,4.4,12,8,4,88,74,21.8,5
226.7,493,2339,4.7,14,16,4,67,120,24.3,8
317.5,345,1461,4.2,12,9,1,49,71,20.6,7
236.8,388,1883,4.9,22,12,2,80,97,25,5
344.5,462,1753,3.8,7,6,0,38,110,23.8,14
305.3,403,1937,4.8,12,15,4,63,98,24.3,4
281.1,415,1672,4,14,6,4,69,95,22.9,5
370.1,404,1728,4.3,8,5,2,91,78,19.3,3
